'name','correct','wrong','overall_accuracy','average_accuracy','balanced_accuracy','jaccard_macro','FAVOR_p','FAVOR_r','FAVOR_f1','AGAINST_p','AGAINST_r','AGAINST_f1','NONE_p','NONE_r','NONE_f1','micro_p','micro_r','micro_f1','macro2_p','macro2_r','macro2_f1','macro_p','macro_r','macro_f1'
feminist_1_e-2,64.0,69.0,0.48120300751879697,0.48120300751879697,0.3333333333333333,0.16040100250626566,0.0,0.0,0.0,0.48120300751879697,1.0,0.649746192893401,0.0,0.0,0.0,0.48120300751879697,0.48120300751879697,0.48120300751879697,0.24060150375939848,0.5,0.3248730964467005,0.16040100250626566,0.3333333333333333,0.21658206429780033
feminist_2_e-2,64.0,69.0,0.48120300751879697,0.48120300751879697,0.3333333333333333,0.16040100250626566,0.0,0.0,0.0,0.48120300751879697,1.0,0.649746192893401,0.0,0.0,0.0,0.48120300751879697,0.48120300751879697,0.48120300751879697,0.24060150375939848,0.5,0.3248730964467005,0.16040100250626566,0.3333333333333333,0.21658206429780033
feminist_3_e-2,64.0,69.0,0.48120300751879697,0.48120300751879697,0.3333333333333333,0.16040100250626566,0.0,0.0,0.0,0.48120300751879697,1.0,0.649746192893401,0.0,0.0,0.0,0.48120300751879697,0.48120300751879697,0.48120300751879697,0.24060150375939848,0.5,0.3248730964467005,0.16040100250626566,0.3333333333333333,0.21658206429780033
feminist_5_e-2,64.0,69.0,0.48120300751879697,0.48120300751879697,0.3333333333333333,0.16040100250626566,0.0,0.0,0.0,0.48120300751879697,1.0,0.649746192893401,0.0,0.0,0.0,0.48120300751879697,0.48120300751879697,0.48120300751879697,0.24060150375939848,0.5,0.3248730964467005,0.16040100250626566,0.3333333333333333,0.21658206429780033
feminist_10_e-2,40.0,93.0,0.3007518796992481,0.3007518796992481,0.3333333333333333,0.10025062656641603,0.3007518796992481,1.0,0.4624277456647399,0.0,0.0,0.0,0.0,0.0,0.0,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.15037593984962405,0.5,0.23121387283236994,0.10025062656641603,0.3333333333333333,0.15414258188824662
feminist_20_e-2,40.0,93.0,0.3007518796992481,0.3007518796992481,0.3333333333333333,0.10025062656641603,0.3007518796992481,1.0,0.4624277456647399,0.0,0.0,0.0,0.0,0.0,0.0,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.15037593984962405,0.5,0.23121387283236994,0.10025062656641603,0.3333333333333333,0.15414258188824662
feminist_1_e-3,73.0,60.0,0.5488721804511278,0.5488721804511278,0.489978448275862,0.3443436643164904,0.35135135135135137,0.325,0.33766233766233766,0.6363636363636364,0.765625,0.6950354609929078,0.5789473684210527,0.3793103448275862,0.45833333333333337,0.5488721804511278,0.5488721804511278,0.5488721804511278,0.4938574938574939,0.5453125,0.5163488993276227,0.5222207853786801,0.489978448275862,0.49701037732952624
feminist_2_e-3,77.0,56.0,0.5789473684210527,0.5789473684210527,0.5267600574712644,0.33852755194218603,0.0,0.0,0.0,0.5643564356435643,0.890625,0.6909090909090908,0.625,0.6896551724137931,0.6557377049180328,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.28217821782178215,0.4453125,0.3454545454545454,0.3964521452145215,0.5267600574712644,0.44888226527570785
feminist_3_e-3,73.0,60.0,0.5488721804511278,0.5488721804511278,0.5150502873563219,0.36099723608302875,0.4358974358974359,0.425,0.43037974683544306,0.589041095890411,0.671875,0.6277372262773723,0.6190476190476191,0.4482758620689655,0.52,0.5488721804511278,0.5488721804511278,0.5488721804511278,0.5124692658939234,0.5484375,0.5290584865564076,0.547995383611822,0.5150502873563219,0.5260389910376051
feminist_5_e-3,90.0,43.0,0.6766917293233082,0.6766917293233082,0.6505387931034483,0.49170701355266483,0.56,0.7,0.6222222222222222,0.7580645161290323,0.734375,0.7460317460317459,0.7142857142857143,0.5172413793103449,0.6000000000000001,0.6766917293233082,0.6766917293233082,0.6766917293233082,0.6590322580645162,0.7171875,0.6841269841269841,0.6774500768049155,0.6505387931034483,0.6560846560846562
