'name','correct','wrong','overall_accuracy','average_accuracy','balanced_accuracy','jaccard_macro','FAVOR_p','FAVOR_r','FAVOR_f1','AGAINST_p','AGAINST_r','AGAINST_f1','NONE_p','NONE_r','NONE_f1','micro_p','micro_r','micro_f1','macro2_p','macro2_r','macro2_f1','macro_p','macro_r','macro_f1'
climate_1_e-2,35.0,44.0,0.4430379746835443,0.4430379746835443,0.3333333333333333,0.14767932489451477,0.4430379746835443,1.0,0.6140350877192983,0.0,0.0,0.0,0.0,0.0,0.0,0.4430379746835443,0.4430379746835443,0.4430379746835443,0.22151898734177214,0.5,0.30701754385964913,0.14767932489451477,0.3333333333333333,0.20467836257309943
climate_2_e-2,35.0,44.0,0.4430379746835443,0.4430379746835443,0.3333333333333333,0.14767932489451477,0.4430379746835443,1.0,0.6140350877192983,0.0,0.0,0.0,0.0,0.0,0.0,0.4430379746835443,0.4430379746835443,0.4430379746835443,0.22151898734177214,0.5,0.30701754385964913,0.14767932489451477,0.3333333333333333,0.20467836257309943
climate_3_e-2,35.0,44.0,0.4430379746835443,0.4430379746835443,0.3333333333333333,0.14767932489451477,0.4430379746835443,1.0,0.6140350877192983,0.0,0.0,0.0,0.0,0.0,0.0,0.4430379746835443,0.4430379746835443,0.4430379746835443,0.22151898734177214,0.5,0.30701754385964913,0.14767932489451477,0.3333333333333333,0.20467836257309943
climate_5_e-2,35.0,44.0,0.4430379746835443,0.4430379746835443,0.3333333333333333,0.14767932489451477,0.4430379746835443,1.0,0.6140350877192983,0.0,0.0,0.0,0.0,0.0,0.0,0.4430379746835443,0.4430379746835443,0.4430379746835443,0.22151898734177214,0.5,0.30701754385964913,0.14767932489451477,0.3333333333333333,0.20467836257309943
climate_10_e-2,35.0,44.0,0.4430379746835443,0.4430379746835443,0.3333333333333333,0.14767932489451477,0.4430379746835443,1.0,0.6140350877192983,0.0,0.0,0.0,0.0,0.0,0.0,0.4430379746835443,0.4430379746835443,0.4430379746835443,0.22151898734177214,0.5,0.30701754385964913,0.14767932489451477,0.3333333333333333,0.20467836257309943
climate_20_e-2,35.0,44.0,0.4430379746835443,0.4430379746835443,0.3333333333333333,0.14767932489451477,0.4430379746835443,1.0,0.6140350877192983,0.0,0.0,0.0,0.0,0.0,0.0,0.4430379746835443,0.4430379746835443,0.4430379746835443,0.22151898734177214,0.5,0.30701754385964913,0.14767932489451477,0.3333333333333333,0.20467836257309943
climate_1_e-3,35.0,44.0,0.4430379746835443,0.4430379746835443,0.3333333333333333,0.14767932489451477,0.4430379746835443,1.0,0.6140350877192983,0.0,0.0,0.0,0.0,0.0,0.0,0.4430379746835443,0.4430379746835443,0.4430379746835443,0.22151898734177214,0.5,0.30701754385964913,0.14767932489451477,0.3333333333333333,0.20467836257309943
climate_2_e-3,59.0,20.0,0.7468354430379747,0.7468354430379747,0.5316239316239316,0.41817632850241554,0.717948717948718,0.8,0.7567567567567569,0.0,0.0,0.0,0.775,0.7948717948717948,0.7848101265822786,0.7468354430379747,0.7468354430379747,0.7468354430379747,0.358974358974359,0.4,0.37837837837837845,0.49764957264957266,0.5316239316239316,0.5138556277796785
climate_3_e-3,62.0,17.0,0.7848101265822784,0.7848101265822784,0.5611721611721612,0.45478036175710596,0.7111111111111111,0.9142857142857143,0.8,0.0,0.0,0.0,0.8823529411764706,0.7692307692307693,0.8219178082191781,0.7848101265822784,0.7848101265822784,0.7848101265822784,0.35555555555555557,0.45714285714285713,0.4,0.5311546840958606,0.5611721611721612,0.5406392694063927
climate_5_e-3,63.0,16.0,0.7974683544303798,0.7974683544303798,0.5697191697191697,0.46726043212930896,0.7272727272727273,0.9142857142857143,0.810126582278481,0.0,0.0,0.0,0.8857142857142857,0.7948717948717948,0.8378378378378378,0.7974683544303798,0.7974683544303798,0.7974683544303798,0.36363636363636365,0.45714285714285713,0.4050632911392405,0.5376623376623376,0.5697191697191697,0.5493214733721062
