'name','correct','wrong','overall_accuracy','average_accuracy','balanced_accuracy','jaccard_macro','FAVOR_p','FAVOR_r','FAVOR_f1','AGAINST_p','AGAINST_r','AGAINST_f1','NONE_p','NONE_r','NONE_f1','micro_p','micro_r','micro_f1','macro2_p','macro2_r','macro2_f1','macro_p','macro_r','macro_f1'
atheism_2_e-2,54.0,49.0,0.5242718446601942,0.5242718446601942,0.3333333333333333,0.17475728155339806,0.0,0.0,0.0,0.5242718446601942,1.0,0.6878980891719745,0.0,0.0,0.0,0.5242718446601942,0.5242718446601942,0.5242718446601942,0.2621359223300971,0.5,0.34394904458598724,0.17475728155339806,0.3333333333333333,0.22929936305732482
atheism_3_e-2,54.0,49.0,0.5242718446601942,0.5242718446601942,0.3333333333333333,0.17475728155339806,0.0,0.0,0.0,0.5242718446601942,1.0,0.6878980891719745,0.0,0.0,0.0,0.5242718446601942,0.5242718446601942,0.5242718446601942,0.2621359223300971,0.5,0.34394904458598724,0.17475728155339806,0.3333333333333333,0.22929936305732482
atheism_5_e-2,54.0,49.0,0.5242718446601942,0.5242718446601942,0.3333333333333333,0.17475728155339806,0.0,0.0,0.0,0.5242718446601942,1.0,0.6878980891719745,0.0,0.0,0.0,0.5242718446601942,0.5242718446601942,0.5242718446601942,0.2621359223300971,0.5,0.34394904458598724,0.17475728155339806,0.3333333333333333,0.22929936305732482
atheism_10_e-2,54.0,49.0,0.5242718446601942,0.5242718446601942,0.3333333333333333,0.17475728155339806,0.0,0.0,0.0,0.5242718446601942,1.0,0.6878980891719745,0.0,0.0,0.0,0.5242718446601942,0.5242718446601942,0.5242718446601942,0.2621359223300971,0.5,0.34394904458598724,0.17475728155339806,0.3333333333333333,0.22929936305732482
atheism_20_e-2,18.0,85.0,0.17475728155339806,0.17475728155339806,0.3333333333333333,0.05825242718446602,0.17475728155339806,1.0,0.2975206611570248,0.0,0.0,0.0,0.0,0.0,0.0,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.08737864077669903,0.5,0.1487603305785124,0.05825242718446602,0.3333333333333333,0.09917355371900827
atheism_1_e-3,62.0,41.0,0.6019417475728155,0.6019417475728155,0.44683393070489846,0.3027131782945736,0.0,0.0,0.0,0.6,0.8888888888888888,0.7164179104477612,0.6086956521739131,0.45161290322580644,0.5185185185185185,0.6019417475728155,0.6019417475728155,0.6019417475728155,0.3,0.4444444444444444,0.3582089552238806,0.4028985507246377,0.44683393070489846,0.4116454763220932
atheism_2_e-3,80.0,23.0,0.7766990291262136,0.7766990291262136,0.7363600159299084,0.601037851037851,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.8,0.8148148148148148,0.8073394495412846,0.7428571428571429,0.8387096774193549,0.787878787878788,0.7766990291262136,0.7766990291262136,0.7766990291262136,0.7846153846153847,0.6851851851851851,0.7262503699319326,0.7706959706959707,0.7363600159299084,0.7467931759142177
atheism_3_e-3,70.0,33.0,0.6796116504854369,0.6796116504854369,0.546594982078853,0.39351851851851855,0.0,0.0,0.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.6410256410256411,0.8064516129032258,0.7142857142857142,0.6796116504854369,0.6796116504854369,0.6796116504854369,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.4517704517704518,0.546594982078853,0.49450549450549447
atheism_5_e-3,72.0,31.0,0.6990291262135923,0.6990291262135923,0.6439665471923537,0.4885912698412698,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.8076923076923077,0.7777777777777778,0.7924528301886792,0.6666666666666666,0.7096774193548387,0.6875,0.6990291262135923,0.6990291262135923,0.6990291262135923,0.6260683760683761,0.6111111111111112,0.6184486373165619,0.6396011396011395,0.6439665471923537,0.6414657582110412
atheism_10_e-3,80.0,23.0,0.7766990291262136,0.7766990291262136,0.7628434886499402,0.613029970760234,0.7,0.7777777777777778,0.7368421052631577,0.8181818181818182,0.8333333333333334,0.8256880733944955,0.75,0.6774193548387096,0.7118644067796611,0.7766990291262136,0.7766990291262136,0.7766990291262136,0.759090909090909,0.8055555555555556,0.7812650893288267,0.756060606060606,0.7628434886499402,0.7581315284791049
atheism_20_e-3,86.0,17.0,0.8349514563106796,0.8349514563106796,0.7903225806451614,0.6833333333333332,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.8275862068965517,0.8888888888888888,0.8571428571428572,0.84375,0.8709677419354839,0.8571428571428571,0.8349514563106796,0.8349514563106796,0.8349514563106796,0.8368700265251989,0.75,0.783410138248848,0.8391633510167993,0.7903225806451614,0.8079877112135176
atheism_1_e-4,55.0,48.0,0.5339805825242718,0.5339805825242718,0.3440860215053763,0.18722327640733713,0.0,0.0,0.0,0.5294117647058824,1.0,0.6923076923076924,1.0,0.03225806451612903,0.0625,0.5339805825242718,0.5339805825242718,0.5339805825242718,0.2647058823529412,0.5,0.3461538461538462,0.5098039215686274,0.3440860215053763,0.25160256410256415
atheism_2_e-4,54.0,49.0,0.5242718446601942,0.5242718446601942,0.3333333333333333,0.17475728155339806,0.0,0.0,0.0,0.5242718446601942,1.0,0.6878980891719745,0.0,0.0,0.0,0.5242718446601942,0.5242718446601942,0.5242718446601942,0.2621359223300971,0.5,0.34394904458598724,0.17475728155339806,0.3333333333333333,0.22929936305732482
atheism_3_e-4,59.0,44.0,0.5728155339805825,0.5728155339805825,0.4259259259259259,0.2688387635756057,0.625,0.2777777777777778,0.3846153846153846,0.5684210526315789,1.0,0.7248322147651006,0.0,0.0,0.0,0.5728155339805825,0.5728155339805825,0.5728155339805825,0.5967105263157895,0.6388888888888888,0.5547237996902425,0.39780701754385966,0.4259259259259259,0.3698158664601617
atheism_5_e-4,69.0,34.0,0.6699029126213593,0.6699029126213593,0.5175228992433293,0.3688688688688688,0.0,0.0,0.0,0.7101449275362319,0.9074074074074074,0.7967479674796749,0.5882352941176471,0.6451612903225806,0.6153846153846154,0.6699029126213593,0.6699029126213593,0.6699029126213593,0.35507246376811596,0.4537037037037037,0.39837398373983746,0.4327934072179597,0.5175228992433293,0.47071086095476344
atheism_10_e-4,69.0,34.0,0.6699029126213593,0.6699029126213593,0.5312624452409399,0.3755555555555556,0.0,0.0,0.0,0.7540983606557377,0.8518518518518519,0.7999999999999999,0.5476190476190477,0.7419354838709677,0.6301369863013699,0.6699029126213593,0.6699029126213593,0.6699029126213593,0.3770491803278688,0.42592592592592593,0.39999999999999997,0.4339058027582618,0.5312624452409399,0.47671232876712333
atheism_20_e-4,75.0,28.0,0.7281553398058253,0.7281553398058253,0.6857825567502988,0.5301282051282051,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.8035714285714286,0.8333333333333334,0.8181818181818182,0.6785714285714286,0.6129032258064516,0.6440677966101694,0.7281553398058253,0.7281553398058253,0.7281553398058251,0.6912593984962406,0.7222222222222223,0.7063882063882064,0.68703007518797,0.6857825567502988,0.6856147364621941
atheism_1_e-2,54.0,49.0,0.5242718446601942,0.5242718446601942,0.3333333333333333,0.17475728155339806,0.0,0.0,0.0,0.5242718446601942,1.0,0.6878980891719745,0.0,0.0,0.0,0.5242718446601942,0.5242718446601942,0.5242718446601942,0.2621359223300971,0.5,0.34394904458598724,0.17475728155339806,0.3333333333333333,0.22929936305732482
atheism_1_e-5,18.0,85.0,0.17475728155339806,0.17475728155339806,0.3333333333333333,0.05825242718446602,0.17475728155339806,1.0,0.2975206611570248,0.0,0.0,0.0,0.0,0.0,0.0,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.08737864077669903,0.5,0.1487603305785124,0.05825242718446602,0.3333333333333333,0.09917355371900827
atheism_2_e-5,57.0,46.0,0.5533980582524272,0.5533980582524272,0.4328952608522501,0.2909802744318111,0.25,0.05555555555555555,0.0909090909090909,0.6029411764705882,0.7592592592592593,0.6721311475409837,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.5533980582524272,0.5533980582524272,0.5533980582524272,0.4264705882352941,0.40740740740740744,0.3815201192250373,0.44560404807084125,0.4328952608522501,0.41563706873067
atheism_3_e-5,54.0,49.0,0.5242718446601942,0.5242718446601942,0.3333333333333333,0.17475728155339806,0.0,0.0,0.0,0.5242718446601942,1.0,0.6878980891719745,0.0,0.0,0.0,0.5242718446601942,0.5242718446601942,0.5242718446601942,0.2621359223300971,0.5,0.34394904458598724,0.17475728155339806,0.3333333333333333,0.22929936305732482
atheism_5_e-5,54.0,49.0,0.5242718446601942,0.5242718446601942,0.3333333333333333,0.17475728155339806,0.0,0.0,0.0,0.5242718446601942,1.0,0.6878980891719745,0.0,0.0,0.0,0.5242718446601942,0.5242718446601942,0.5242718446601942,0.2621359223300971,0.5,0.34394904458598724,0.17475728155339806,0.3333333333333333,0.22929936305732482
atheism_10_e-5,52.0,51.0,0.5048543689320388,0.5048543689320388,0.32098765432098764,0.1699346405228758,0.0,0.0,0.0,0.52,0.9629629629629629,0.6753246753246753,0.0,0.0,0.0,0.5048543689320388,0.5048543689320388,0.5048543689320388,0.26,0.48148148148148145,0.33766233766233766,0.17333333333333334,0.32098765432098764,0.22510822510822512
