'name','correct','wrong','overall_accuracy','average_accuracy','balanced_accuracy','jaccard_macro','FAVOR_p','FAVOR_r','FAVOR_f1','AGAINST_p','AGAINST_r','AGAINST_f1','NONE_p','NONE_r','NONE_f1','micro_p','micro_r','micro_f1','macro2_p','macro2_r','macro2_f1','macro_p','macro_r','macro_f1'
hillary_1_e-2,71.0,57.0,0.5546875,0.5546875,0.3333333333333333,0.18489583333333334,0.0,0.0,0.0,0.5546875,1.0,0.7135678391959799,0.0,0.0,0.0,0.5546875,0.5546875,0.5546875,0.27734375,0.5,0.35678391959798994,0.18489583333333334,0.3333333333333333,0.23785594639865995
hillary_2_e-2,71.0,57.0,0.5546875,0.5546875,0.3333333333333333,0.18489583333333334,0.0,0.0,0.0,0.5546875,1.0,0.7135678391959799,0.0,0.0,0.0,0.5546875,0.5546875,0.5546875,0.27734375,0.5,0.35678391959798994,0.18489583333333334,0.3333333333333333,0.23785594639865995
hillary_3_e-2,71.0,57.0,0.5546875,0.5546875,0.3333333333333333,0.18489583333333334,0.0,0.0,0.0,0.5546875,1.0,0.7135678391959799,0.0,0.0,0.0,0.5546875,0.5546875,0.5546875,0.27734375,0.5,0.35678391959798994,0.18489583333333334,0.3333333333333333,0.23785594639865995
hillary_5_e-2,71.0,57.0,0.5546875,0.5546875,0.3333333333333333,0.18489583333333334,0.0,0.0,0.0,0.5546875,1.0,0.7135678391959799,0.0,0.0,0.0,0.5546875,0.5546875,0.5546875,0.27734375,0.5,0.35678391959798994,0.18489583333333334,0.3333333333333333,0.23785594639865995
hillary_10_e-2,71.0,57.0,0.5546875,0.5546875,0.3333333333333333,0.18489583333333334,0.0,0.0,0.0,0.5546875,1.0,0.7135678391959799,0.0,0.0,0.0,0.5546875,0.5546875,0.5546875,0.27734375,0.5,0.35678391959798994,0.18489583333333334,0.3333333333333333,0.23785594639865995
hillary_20_e-2,71.0,57.0,0.5546875,0.5546875,0.3333333333333333,0.18489583333333334,0.0,0.0,0.0,0.5546875,1.0,0.7135678391959799,0.0,0.0,0.0,0.5546875,0.5546875,0.5546875,0.27734375,0.5,0.35678391959798994,0.18489583333333334,0.3333333333333333,0.23785594639865995
hillary_1_e-3,71.0,57.0,0.5546875,0.5546875,0.3333333333333333,0.18489583333333334,0.0,0.0,0.0,0.5546875,1.0,0.7135678391959799,0.0,0.0,0.0,0.5546875,0.5546875,0.5546875,0.27734375,0.5,0.35678391959798994,0.18489583333333334,0.3333333333333333,0.23785594639865995
hillary_2_e-3,83.0,45.0,0.6484375,0.6484375,0.46305905609093156,0.3333333333333333,0.0,0.0,0.0,0.625,0.9154929577464789,0.7428571428571428,0.75,0.47368421052631576,0.5806451612903226,0.6484375,0.6484375,0.6484375,0.3125,0.45774647887323944,0.3714285714285714,0.4583333333333333,0.46305905609093156,0.4411674347158218
hillary_3_e-3,80.0,48.0,0.625,0.625,0.5264393377810724,0.34094143404488236,0.0,0.0,0.0,0.7288135593220338,0.6056338028169014,0.6615384615384615,0.5362318840579711,0.9736842105263158,0.6915887850467289,0.625,0.625,0.625,0.3644067796610169,0.3028169014084507,0.33076923076923076,0.42168181446000164,0.5264393377810724,0.4510424155283968
hillary_5_e-3,89.0,39.0,0.6953125,0.6953125,0.6319495922905857,0.4813044620321833,0.5555555555555556,0.5263157894736842,0.5405405405405405,0.7160493827160493,0.8169014084507042,0.7631578947368421,0.7241379310344828,0.5526315789473685,0.6268656716417911,0.6953125,0.6953125,0.6953125,0.6358024691358024,0.6716085989621943,0.6518492176386913,0.6652476231020291,0.6319495922905857,0.6435213689730579
hillary_10_e-3,91.0,37.0,0.7109375,0.7109375,0.6331850753644676,0.49367857428274586,0.625,0.5263157894736842,0.5714285714285714,0.7045454545454546,0.8732394366197183,0.779874213836478,0.7916666666666666,0.5,0.6129032258064516,0.7109375,0.7109375,0.7109375,0.6647727272727273,0.6997776130467013,0.6756513926325247,0.7070707070707071,0.6331850753644676,0.6547353370238337
hillary_20_e-3,88.0,40.0,0.6875,0.6875,0.602174450210032,0.46372053872053876,0.6428571428571429,0.47368421052631576,0.5454545454545454,0.6853932584269663,0.8591549295774648,0.7625,0.72,0.47368421052631576,0.5714285714285714,0.6875,0.6875,0.6875,0.6641252006420546,0.6664195700518902,0.6539772727272727,0.6827501337613698,0.602174450210032,0.6264610389610389
